age,PC1 5pt Smooth (lake),,,
79.30380464,-0.1696,,,
79.44135646,-0.14402,,,
79.58211152,-0.1413,,,
79.71591589,-0.15306,,,
79.84791216,-0.15302,,,
79.9781208,-0.14954,,,
80.1065623,-0.1509,,,
80.23325716,-0.14916,,,
80.35822587,-0.15534,,,
80.47995856,-0.1547,,,
80.60155737,-0.15536,,,
80.72149123,-0.14416,,,
80.83978065,-0.05226,,,
80.9564461,-0.0358,,,
81.10713936,-0.0282,,,
81.38051535,0.03902,,,
81.48973733,0.04134,,,
81.5974533,-0.0433,,,
81.70368375,-0.04392,,,
81.80844916,0.00404,,,
81.91177002,-0.0636,,,
82.01366683,-0.01994,,,
82.11416007,0.0005,,,
82.21696024,0.00478,,,
82.31465713,-0.03636,,,
82.41101269,0.02866,,,
82.50604741,0.01064,,,
82.59978179,0.0112,,,
82.68649501,0.03362,,,
82.78343146,0.04704,,,
82.87338774,0.02606,,,
82.96212563,0.01892,,,
83.10916515,0.03088,,,
83.18888438,0.02192,,,
83.27338447,0.02586,,,
83.35676082,0.01296,,,
83.4288094,0.0175,,,
83.60035226,-0.0021,,,
83.67943851,-0.01542,,,
83.75556412,-0.02592,,,
83.83265304,-0.03246,,,
83.90876112,-0.05168,,,
84.05811676,-0.06234,,,
84.12912874,-0.08438,,,
84.19254249,-0.10604,,,
84.53344946,-0.1469,,,
84.60109717,-0.15892,,,
84.66798355,-0.17026,,,
84.73412909,-0.17802,,,
84.79955427,-0.19192,,,
84.85542061,-0.18672,,,
84.91955876,-0.1985,,,
84.98303522,-0.21116,,,
85.10769803,-0.194,,,
85.16931601,-0.18742,,,
85.23187283,-0.1752,,,
85.29271404,-0.16764,,,
85.35226449,-0.16566,,,
85.41463046,-0.07656,,,
85.47974592,0.02472,,,
85.70095432,0.11982,,,
85.75769088,0.13364,,,
85.81405272,0.23736,,,
85.83544629,0.15598,,,
85.87006034,0.14762,,,
85.92573422,0.05786,,,
85.9762628,0.05776,,,
85.98109487,-0.02926,,,
86.03616277,0.04994,,,
86.09095841,0.05352,,,
86.11348709,0.05876,,,
86.20455688,0.05902,,,
86.25931603,0.06424,,,
86.31253702,-0.00856,,,
86.36626482,-0.0859,,,
86.4225206,-0.08596,,,
86.47596802,-0.08832,,,
86.52930991,-0.08346,,,
86.58256678,-0.0866,,,
86.63409761,-0.08346,,,
86.6603444,-0.0752,,,
86.75929593,-0.0666,,,
86.80577945,-0.0658,,,
86.81242097,-0.05374,,,
86.86557009,-0.05372,,,
86.89548474,-0.05744,,,
86.91876377,-0.06264,,,
87.02202988,-0.05946,,,
87.07547297,-0.044,,,
87.18275538,0.01458,,,
87.23731032,0.01856,,,
87.2913798,0.01644,,,
87.34565674,0.01134,,,
87.40016162,-0.01998,,,
87.45491495,-0.0855,,,
87.50993721,-0.0903,,,
87.5652489,-0.08716,,,
87.62087049,-0.03878,,,
87.67682248,0.11352,,,
87.74124896,0.12166,,,
87.79797829,0.13412,,,
87.85510245,0.1458,,,
87.91264191,0.11012,,,
87.97061716,-0.01138,,,
88.02904871,-0.00268,,,
88.08795703,0.05162,,,
88.14736261,0.11848,,,
88.20728596,0.17732,,,
88.26964587,0.1577,,,
88.33068399,0.2361,,,
88.39230197,0.17622,,,
88.45452031,0.13204,,,
88.5173595,0.0928,,,
88.58084002,0.11134,,,
