age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Age
472.1177851,-0.034096538,0.405705548,0.130924877,0.21018332,68.19787986,0.803621339,14.48763251,0.311013834,1.060070671,0.393088921,0,0.112748849,1.948472849,0.111332813,>85 ka
475.7131874,-0.09129497,0.294169973,0.135646567,0.211586211,87.45519713,0.971474587,5.734767025,0.12674227,0,0.148747214,0.358422939,0.136903975,2.667132523,0.219299648,>85 ka
478.8489627,-0.119836074,0.244388803,0.137424374,0.212115844,86.87943262,0.969367553,6.028368794,0.131323093,0,0.148747214,0,0.112748849,0.710779905,0.023533036,>85 ka
481.3799366,-0.145683494,0.20354847,0.1379992,0.212287258,88.21548822,0.974070871,5.723905724,0.126574971,0,0.148747214,0,0.112748849,0.878158627,0.029912316,>85 ka
483.4569742,-0.163626596,0.177756111,0.138304319,0.212378278,81.25,0.941224298,6.25,0.134855879,6.25,0.999768398,0,0.112748849,0.72134752,0.023898833,>85 ka
486.4677485,-0.176304185,0.160836092,0.139121376,0.212622126,81.9112628,0.945326042,13.99317406,0.298181333,0,0.148747214,0,0.112748849,0.704203952,0.023307797,>85 ka
488.4292066,-0.175525759,0.16184368,0.140270141,0.212965248,75.35714286,0.893314634,12.5,0.260974455,0,0.148747214,1.428571429,0.228768813,1.064813493,0.03865357,>85 ka
489.8960573,-0.210147377,0.120981985,0.141625067,0.213370362,80.40540541,0.935638626,10.47297297,0.214579874,1.013513514,0.380137885,1.013513514,0.189643955,2.637605943,0.213935499,>85 ka
492.6424726,-0.153472882,0.192088212,0.146086758,0.214707551,71.21771218,0.845902216,17.71217712,0.39978368,1.10701107,0.406267437,2.21402214,0.313848021,1.606535007,0.0761924,>85 ka
495.7764888,-0.212723507,0.118261512,0.157430731,0.218129241,69.28327645,0.819566011,19.11262799,0.440352344,1.706484642,0.578707593,2.730375427,0.376226636,2.288662844,0.156519741,>85 ka
498.1037237,-0.130605163,0.22685819,0.172766921,0.222804701,73.18007663,0.869883182,11.49425287,0.237331894,1.915708812,0.637081729,3.831417625,0.518411329,1.257970047,0.049784256,>85 ka
500.2011667,-0.153718358,0.191733589,0.191586602,0.228619425,78.0669145,0.918017536,11.89591078,0.246630312,0,0.148747214,0,0.112748849,1.608662072,0.076381236,>85 ka
501.5618704,-0.257319588,0.077850379,0.203993307,0.232498877,67.39130435,0.791236987,15.2173913,0.330376611,0.724637681,0.303242695,1.449275362,0.230832305,2.846772033,0.253553551,>85 ka
502.3471329,-0.231540174,0.099696763,0.210485928,0.234543555,48.31932773,0.410023877,25.21008403,0.618672722,2.521008403,0.78542571,5.462184874,0.719614573,4.57200531,0.657155939,>85 ka
503.3219167,-0.24359775,0.08897755,0.217313542,0.236704417,71.04247104,0.84362683,17.37451737,0.390144837,0,0.148747214,0,0.112748849,0.899793901,0.030832991,>85 ka
504.8294082,-0.258103742,0.077247943,0.224132075,0.238873289,61.45038168,0.686984225,25.57251908,0.628872305,0.763358779,0.313146462,0.763358779,0.168186148,1.616279308,0.077060399,>85 ka
506.2599866,-0.233108313,0.098251598,0.227037504,0.239800753,49.80988593,0.44182517,25.09505703,0.615417959,3.802281369,0.957463551,4.562737643,0.612685797,4.127667661,0.55157107,>85 ka
507.4645464,-0.251193438,0.082680201,0.228125135,0.240148449,45.16129032,0.344801143,22.58064516,0.542624147,0,0.148747214,3.225806452,0.43931316,2.912066762,0.266666548,>85 ka
508.4682961,-0.276959529,0.063804908,0.228911744,0.240400085,46.9924812,0.382198449,24.43609023,0.596621526,3.759398496,0.954563513,3.759398496,0.508981937,3.586833314,0.418711979,>85 ka
510.0154873,-0.204654701,0.126928685,0.230827088,0.241013402,41.54411765,0.27548752,30.51470588,0.756562502,3.308823529,0.913605479,5.147058824,0.683750404,3.032572288,0.291735009,>85 ka
511.7598644,0.058152129,0.598506082,0.233666216,0.24192409,58.93536122,0.636985272,30.03802281,0.745355722,1.901140684,0.633101823,0.760456274,0.167946714,2.512493359,0.192069565,>85 ka
512.8654944,0.184213325,0.820290469,0.235551204,0.242529755,53.78787879,0.527984008,28.03030303,0.69535638,1.893939394,0.631129156,4.166666667,0.562085839,2.51078332,0.1917805,>85 ka
513.9651174,0.254203995,0.900916885,0.23729298,0.243090133,52.0295203,0.48982206,21.03321033,0.496935481,2.95202952,0.865192619,4.79704797,0.64179899,4.822787599,0.712249546,>85 ka
515.1658384,0.277845249,0.921007296,0.238848216,0.243591087,59.7826087,0.654144048,23.91304348,0.581539158,2.536231884,0.78864111,2.173913043,0.309191374,2.313002277,0.160160934,>85 ka
516.5034882,0.252820227,0.899634571,0.239898297,0.243929642,51.07913669,0.469212225,24.10071942,0.586965943,1.438848921,0.501615391,5.395683453,0.712211989,4.086984453,0.541592042,>85 ka
518.3982098,0.154459645,0.776087402,0.239591223,0.243830613,57.36434109,0.604453612,25.96899225,0.639926782,1.937984496,0.643138626,5.426356589,0.71563782,3.42399342,0.379801926,>85 ka
520.0556902,0.03945814,0.559843392,0.237000057,0.242995843,21.75438596,0.047106995,51.22807018,0.98715948,2.105263158,0.687385312,2.807017544,0.385817251,3.007524554,0.286434985,>85 ka
