V1,V2
2.648305556,-15.25767847
10.2991835,-1.305525872
0.289696279,-16.52593086
-0.998609699,-16.61486706
-0.135925006,-17.06472352
9.462345021,-6.530080467
6.815698711,-10.8738332
7.328839181,-11.68492925
-1.730314119,-17.89212423
7.92230035,-11.20875894
8.030634555,-10.13799705
6.301245032,-4.091742484
5.995928507,2.487369313
3.073807399,4.491987667
-9.147862579,-6.642609783
-0.782546885,2.865124101
-5.337717726,0.456290684
1.822446144,5.791146853
-1.971915002,2.434586677
-1.634101084,3.214078458
0.70795925,5.475787993
-1.161175977,2.038726129
0.165883401,2.86722641
3.909104483,5.034977791
6.38575806,1.173317404
0.024807578,-12.91029366
9.272239867,2.907859971
5.581668189,-10.44155778
3.943643687,-12.55806672
4.651585473,-11.55886038
2.342043411,-7.208217239
6.318469954,-1.927099471
8.628965673,4.156554624
5.67588842,-2.761825546
4.728032332,5.20166587
0.703644946,3.963726085
-7.014418737,-4.496467145
2.43422295,6.248243478
-5.645168335,6.499444343
-8.494067335,0.226894014
-7.806628652,0.164578539
-8.392053152,-0.729613814
-0.324958131,4.446343356
-6.156722703,0.261854946
-10.69232443,-6.065776262
-11.03566498,-6.06186278
1.357800565,-6.220073411
2.774543835,-7.113901083
7.938136129,-1.088809402
7.814641343,-0.704202881
9.230483337,3.454494342
-2.417266244,-15.76875796
9.490820614,-2.383611742
3.42539163,-11.58217491
10.29949225,-3.897892162
1.538519395,-14.17733416
7.718792774,-7.193603721
6.170770396,-8.29928683
9.225087925,-3.194263366
8.287478074,-5.27989968
5.065964505,-9.346022193
5.120692458,-8.464017339
6.977335502,-6.507874318
8.869815592,-4.86141271
3.103272971,-10.03916471
8.782383829,-2.906575193
4.075399049,-9.568608905
3.871114382,-10.32319097
-1.972408513,-15.33484117
2.611812703,-11.06598783
3.650713324,-8.291209518
-0.3747282,-11.98496699
0.666173373,-11.20152236
1.0725677,-10.38993293
3.933320672,-6.022981301
-6.490655048,-1.334085866
-7.57363885,-2.249372397
-18.2407019,5.666932914
-18.25529221,5.680679434
-5.588067024,10.79677698
-6.063763399,9.790715063
-4.325905005,-4.805296297
7.256019256,1.851068307
0.409005117,-10.19201919
-7.15339577,-8.470017219
-2.655297408,-3.818151738
-2.911564771,-2.673145653
1.617200622,7.802279147
-7.312986735,-2.034014506
-5.255687293,8.153296619
-4.968868575,8.672036749
-4.714756444,7.843626152
-4.312776586,9.291384491
-1.239001271,10.03341038
-2.685946333,9.865042256
0.789588672,9.332226344
-1.585879441,5.539026964
-0.249379832,9.166566806
-2.320671277,8.261888583
-2.29391016,7.726118362
-5.94332677,-2.589660913
-0.545580015,6.319493294
0.286402886,-8.658882873
0.0393417,-7.692586098
-5.273612626,-5.021441024
11.709098,3.061179228
12.90069647,2.803654723
-6.949790736,-9.654858485
2.509249024,8.616661397
-2.208594158,6.668711033
12.31360515,4.242070298
14.784551,2.698173634
27.83601051,-5.0500104
15.22203303,2.66960735
24.75208021,-1.918451826
22.70818373,-0.062442346
25.7548519,-2.706755097
25.77544061,-2.409072412
29.19302947,-5.440900807
21.98253414,0.767027429
21.01379705,2.409743975
25.67292076,-1.075547758
27.80167993,-3.078263258
23.15886325,0.924272697
