V1,V2
-11.60172338,-21.02229117
-10.79745523,-23.14143412
-1.605144369,-13.99728569
3.724370564,-10.51333161
-9.851060112,8.00847318
-14.45146048,15.46765877
-14.63557548,14.91399609
-15.57740938,15.71875909
-8.350776526,11.0465958
-13.6281965,14.51544436
-7.61312999,11.44651771
-5.723613221,13.1554658
-8.326007986,13.9338905
-9.480349004,13.72233537
-13.08876261,14.42034079
-8.432476757,11.55579447
-11.77513486,12.75978212
-12.18667332,12.17322183
-1.194758003,16.20982406
-2.178808732,11.13378343
-3.028478356,10.88311632
-4.338659082,11.6829643
-9.567406132,7.672426878
-3.563186454,7.753956687
-2.759581577,6.758073628
-2.036710188,6.8197808
-5.505267788,4.90960334
-5.333592534,5.229659143
-2.946732742,9.214597067
-3.478049064,9.169498264
-2.077109655,8.013158292
-4.416726709,12.21413018
-12.697027,9.957366147
-5.655826883,8.279394515
4.91759271,7.375949762
15.36833402,9.473432543
7.811745922,7.596196278
14.2375985,10.83954437
9.341136758,9.585581767
8.61217125,10.50268418
11.76026799,12.23749939
10.85545714,12.60975309
12.14643355,13.64847836
9.537530727,12.42099717
13.61329258,14.36349554
16.18824515,16.25775525
5.397136151,10.39584505
6.91824649,10.63087588
6.405113562,9.356873703
7.61098934,8.816514834
8.487313355,8.537182228
12.8952806,10.1892722
7.439656936,9.698107289
10.726116,10.85432772
12.68283681,15.50380529
10.02637803,14.94511074
9.136941535,14.57457187
8.454678652,13.39846989
15.72855596,18.35002177
10.58258691,13.76513595
13.99638169,15.85476519
11.30027989,14.62808275
23.93260047,25.5582571
20.2950999,23.43259425
24.42258787,25.92967948
18.95179984,21.92226075
19.6243096,22.54835469
16.03762808,17.74400149
19.13214902,23.85744435
17.70161987,21.74424675
22.70051545,25.63821297
17.08837065,23.91733784
13.33527435,20.97395152
17.52484547,24.29034889
5.234725687,14.98225959
10.11163939,18.73973785
11.89539716,17.76077337
9.168638826,17.42821131
15.45101109,23.73278516
0.311320822,15.6020416
0.893085143,18.35397046
0.602737154,17.74365353
0.249729428,13.78975013
0.54158257,14.57145659
13.21142995,22.4838506
12.45257721,22.21062284
0.202591739,16.71578966
7.147504069,16.56013922
8.256419776,17.65971246
11.79288986,20.28165327
12.37724798,20.19245366
11.64744662,10.87537547
13.99910907,12.09183981
14.76117834,11.73442481
19.80459942,16.96937383
5.033264143,9.443651015
17.56300555,15.38526799
18.30278816,14.50063333
19.08697617,15.99107879
19.69801772,15.696523
22.10964267,18.06434813
19.94729328,14.83610101
16.3421059,11.88659917
17.77712106,12.71804318
17.5511009,11.97890382
21.58397956,15.80828292
21.12708127,14.82925523
22.27676012,16.67081556
19.17250238,11.05283967
33.34778416,-11.98516594
19.21262438,10.44871161
-6.099715782,-16.19764175
0.233688869,-15.3163324
-3.425662099,-16.8254185
-1.534323896,-16.44163747
-7.06728159,-18.02508445
-8.483497907,-17.74154621
8.212986694,-16.83092722
-5.199964701,-16.46410201
30.32357914,-12.03731026
-8.696052825,-18.65722726
-10.40019768,-19.57178635
-9.231446555,-19.49422116
10.45635403,-18.09298744
3.074245016,-15.65575206
1.948733381,-13.94299467
-7.529479388,-20.91177372
-0.370056247,-20.72589853
6.513841696,-12.95076363
10.90169698,-12.45028063
19.93407981,-11.4457591
-26.91239306,19.97113267
-9.163336199,1.797258035
-21.9783692,15.90215458
-17.40301825,8.668306919
-28.21462382,17.81810894
-21.60992386,14.1914844
-22.45879338,14.55613168
-27.40794181,15.2244996
-21.03296646,15.34414795
-22.0118645,17.3280617
-27.78627448,20.93778975
18.08856965,-12.61679277
-4.483691418,-20.36245678
27.24408652,-15.53482708
3.107878272,-17.80100881
-0.742847,-17.22650905
1.245174191,-16.30988473
2.353977456,-12.5026153
13.73645999,-12.77979437
26.64156446,-12.27704659
12.51427142,-12.49499315
-27.88887491,21.78744257
-23.02135493,18.70388873
-7.720564791,-0.895986794
-28.01609234,18.55498774
-23.44399283,10.26040582
-15.00852417,7.988094952
-15.7913486,8.087943595
-15.12112531,6.914943474
-23.62582203,16.81387068
-17.29907777,9.644904027
-8.296305825,2.819829132
-7.931085819,3.220383829
1.189078206,-10.88500756
3.005443357,-13.17352214
16.50601689,-14.8279824
16.77965936,-14.69350664
27.07213357,-13.8619264
-11.54568089,-17.44152681
15.62844397,-17.58973689
0.381482888,-17.29085694
13.45535684,-17.5281628
-5.205744689,-17.44707317
9.62066763,-18.181307
5.067389721,-17.96291304
15.79802265,-18.74801734
12.06866046,-20.41346266
3.790142576,-20.55548684
4.41852615,-19.2539903
10.09770013,-19.89238418
12.43014427,-19.65460523
1.468111628,-19.61096985
16.20431922,-18.42578978
2.845480917,-19.78889806
2.008154564,-20.45860877
-11.10881176,-18.69413889
0.918747859,-18.04954258
4.032905137,-15.94056566
-4.84568173,-20.00025601
-2.066455444,-20.6221285
-1.437549481,-21.57813091
7.7885152,-12.31746479
-18.0557587,6.664650661
-16.44537611,4.507732691
-23.30083829,-2.675148418
-23.30064168,-2.684390636
-32.18111876,7.972233144
-30.17276835,6.574124663
-7.402177818,-4.758498469
19.76949165,-12.16532371
-1.534062699,-22.27882596
-11.67885885,-12.13007995
-4.931259735,-5.461045002
-19.2417861,12.6742498
-31.18061372,18.98268733
-17.10167073,4.751678222
-26.67887648,7.384054649
-27.72109004,7.800458566
-25.5175159,7.486065338
-28.98689932,8.948577522
-34.12248249,13.49118521
-31.89162122,11.35272679
-34.7722718,17.46811248
-23.6225676,14.30787268
-32.37039432,15.41208779
-28.80269374,12.97957211
-27.47587277,13.15688884
-17.23367667,6.147147231
-25.67970343,17.61831013
2.221272747,-25.19792174
8.162606975,-13.85331975
-8.182450001,-4.347454685
23.95301057,-11.41750206
21.48875463,-17.14301013
-13.88836944,-13.34548704
-30.87260461,20.46443853
-25.38074179,14.46642584
21.19156658,-12.06292776
23.68614669,-19.08586997
-5.350583938,-23.50829335
24.75724252,-19.5009595
9.092229138,-26.4269576
19.26264325,-24.25089202
7.537644665,-28.13502889
8.155939214,-28.42084615
-13.63275005,-19.79708997
20.67335174,-25.5199156
