V1,V2,V3
4.486257947,-0.716291213,-18.23110995
-4.633040976,-12.33595299,-19.14352643
-3.848757261,-11.09248842,-21.80981406
-0.500160241,-0.980349834,-22.42891913
6.236917601,-0.605104553,-17.62067194
8.469770272,-6.458660168,7.523915723
17.09615948,1.712206697,10.55558229
16.97688143,0.781589915,9.836164079
17.56320918,2.2277404,9.007784443
9.601816654,-8.149513433,11.44842624
15.46276164,1.103249137,10.55091132
8.991189022,-8.257538296,12.72169065
8.049036755,-10.19374402,15.79131968
10.74348494,-6.473632227,15.03882373
11.55987861,-5.356396328,13.79719264
15.35725477,-0.049139566,10.79186466
10.14238668,-7.647359185,12.21145378
13.12835336,-3.673274531,10.80805154
13.6766051,-3.931624283,9.813879581
10.25604348,-20.3827381,15.14861643
6.211608588,-15.39344232,13.99199145
6.412075972,-14.06307431,13.64470881
5.946933058,-12.13366112,14.81712781
7.60891359,-6.925873398,7.361311852
3.122250609,-12.61882366,10.94313055
2.466430159,-13.61143876,9.488810731
1.730576067,-14.24299866,10.26626955
4.313055967,-12.08094038,6.147260138
4.28926006,-12.3156843,7.006326421
4.592687912,-13.90457676,12.25506674
5.282184914,-13.84770426,11.42196972
3.35946675,-14.92773116,11.04447008
6.989530499,-12.15163671,15.228563
10.83232422,-3.888384418,7.399853306
5.896255748,-11.68555833,9.845181972
-2.131280365,-23.4145382,12.69900786
0.481402543,-33.32509665,6.08774529
-1.710510187,-26.43758325,12.25297834
0.937795902,-33.24797344,9.336018263
-1.501558686,-29.49256078,13.3690884
-1.783871885,-29.64132529,15.20048377
0.113437129,-33.12438204,13.93898612
0.109369306,-33.67489437,15.56107232
1.893230305,-34.54136496,15.03247415
-0.152970458,-31.97601916,16.72768963
3.358397757,-35.19409325,13.27897126
6.474697356,-36.84500808,10.65872771
-2.196661216,-26.24713545,17.59228751
-1.180714727,-27.7119695,16.31853586
-1.879235341,-26.15017824,15.47019418
-1.100469774,-27.38613493,14.03559914
-2.465387642,-27.74520585,13.0841763
0.121191638,-31.94888332,10.77565258
-2.744834549,-27.69257176,15.01403868
