V1,V2,V3
15.58794048,-34.68403544,4.509079241
11.49047887,-37.5723225,3.929094302
30.49971415,-21.21200667,16.24565253
26.32086471,-26.15119907,13.77687306
31.37352124,-20.54840213,17.17827312
24.13591897,-27.86059289,11.85275369
24.85799507,-26.27701917,12.34024802
18.82667595,-31.83252294,6.517214104
24.28257215,-26.03716076,14.66847962
22.05792179,-28.55816985,11.9618695
28.69328916,-22.27324923,16.78302699
21.38225713,-27.63475807,15.22776826
15.42431804,-30.87366654,12.15624425
21.98118152,-26.50257159,15.92159084
2.801334402,-33.60200066,5.687746054
10.36950878,-32.51457266,9.055716701
12.91189242,-33.56089771,7.487400437
9.003390067,-33.9569142,7.03681373
18.7114544,-27.7828982,15.36587436
-1.941582399,-26.80908198,10.45212304
2.324677304,-25.86162516,13.23545871
0.879315914,-26.19082913,12.84729768
-4.328567957,-27.58053734,8.420184252
-2.814193304,-27.79826344,9.107587672
15.34049245,-28.98440014,13.98172097
13.72996525,-29.20605773,13.55118013
-0.568597884,-25.9180202,11.56580334
5.803554019,-33.64126217,6.21717487
7.630852104,-32.90437663,7.652352129
12.87351692,-31.1724795,11.03537779
14.04524631,-30.51067332,10.35956477
9.968161594,-35.25089136,0.34756846
13.72497366,-34.18116637,-0.212736852
14.55760642,-34.87278329,-1.763309251
22.85809232,-29.01965667,3.851253449
-0.126784614,-38.6666067,-1.930226892
20.31739027,-31.85167286,2.37619805
21.68723609,-32.66472732,0.837376398
23.73587434,-31.23012361,2.855255935
22.51902591,-30.09805877,1.959980571
26.37957407,-26.48865923,5.090865084
23.90514846,-30.57505124,0.653416619
17.26699074,-34.08451096,-2.420307816
19.32284605,-32.0480364,-1.373940655
18.60687925,-32.32182632,-2.845615953
25.44730851,-28.19237233,1.648752272
23.98325233,-28.35088061,0.244033384
26.27205501,-26.7345298,2.750143674
20.16975288,-29.93234164,-4.10818775
22.93959854,26.30999394,4.191101981
19.60410123,-29.37019289,-5.313444469
0.902885044,-2.843937484,-28.83623839
6.772539916,5.424814643,-24.19717776
1.76333773,1.375830422,-28.60613312
3.869241603,5.091059074,-28.61188935
-2.455016712,-3.148722331,-29.23977039
-3.547694563,-5.660668903,-29.09166128
9.017297508,12.96989986,-17.86847648
1.157209334,-1.547765118,-30.32589852
18.35754189,27.49340258,-2.052301216
-3.158793305,-5.513368562,-31.15249
-5.983421096,-6.890716084,-31.48316702
-5.038073763,-4.526251849,-31.09591046
9.55357738,17.82840441,-17.39410784
3.558139623,7.825797234,-20.87430503
-0.024602242,6.227075678,-19.53032685
-8.248100893,-2.45383942,-28.21536688
-2.90094133,7.529158811,-21.70449315
-2.282292071,12.26956531,-15.47144618
-1.286149636,16.74244032,-10.79650628
2.687960645,25.88356247,2.934116436
-10.89618863,18.93665085,17.05075125
-13.30806523,-9.94227392,-2.105955367
-14.94936275,12.26399788,11.9471925
-15.28799838,-0.993008343,9.325330968
-14.51079066,17.92793613,19.5542552
-16.48136216,9.718679136,11.14851276
-16.53304084,10.30182662,13.04041407
-16.3109851,13.31178097,18.71169423
-14.94503947,11.17479689,10.1458748
-14.02389221,14.43325329,11.66993993
-10.49951752,21.06049847,17.77000132
2.290982317,24.72236813,-0.243271471
-4.886230162,1.091561156,-24.5801689
14.38262007,32.86301554,1.744695616
5.12446103,9.685896593,-24.0942687
3.353546615,4.387256528,-26.54494761
4.563267321,6.105367518,-23.46690946
1.903091467,5.425983577,-17.31293418
1.573127736,19.20011124,-7.32059814
11.78553776,31.72398394,6.411311384
0.723841182,17.66014787,-8.639825795
-10.49987821,22.80283011,17.82509216
-14.56989261,16.96699613,12.78870005
-10.59197142,-4.478437731,-4.171434611
-14.41807845,19.55979582,19.06865133
-15.55283514,3.600048199,20.10982986
-15.67062863,-5.399003624,10.73335424
-15.11264819,-3.888654234,9.985806354
-15.88421719,-5.472743557,8.584736064
-16.58108081,14.45943391,14.52965824
-13.84655689,0.114813502,8.899185856
-12.64926422,-11.8510997,-1.240005737
-12.50267086,-13.18665012,-0.904982175
-0.251229977,4.164104542,-15.18394099
1.221823423,7.10730151,-17.36626233
5.269047356,23.42650589,-5.79711686
4.763518346,24.04323618,-4.829264308
14.43528365,33.22839991,4.747031489
-9.332044351,-6.567207215,-29.42653223
10.41067504,24.07831337,-11.07144791
3.485384625,6.436921618,-25.6604898
11.19072318,21.29330578,-13.69749587
-0.4652867,-0.548211182,-29.88382042
9.137914471,16.59626075,-18.49546465
5.715843214,12.29815807,-22.46205568
9.980113586,25.61860546,-12.52510303
7.449642861,22.10178118,-18.09945601
1.815323934,13.17302558,-25.51853573
3.028464201,12.59477311,-23.37233209
6.978936801,18.80312037,-19.18878061
8.719797243,21.90335493,-16.96423848
0.999009812,9.074030728,-26.76708445
8.887585749,25.28484671,-11.57155127
1.710890827,11.02280118,-25.54732182
1.986713609,10.59687399,-27.69367546
-8.203189237,-4.531600917,-30.98421765
1.771600854,6.778324793,-24.55927913
2.950296201,9.706109743,-20.6875612
-4.204268273,0.350892838,-25.62151544
-3.517896026,4.932251921,-23.33940017
-4.02508719,6.835197534,-24.38270376
-2.939128427,13.90515454,-14.05197319
-18.28141594,-1.288032471,8.225459894
-18.8076647,-4.246738101,6.250148345
-19.7382522,-21.39359557,17.61184859
-20.38947713,-21.91764618,17.82939771
-17.53797905,0.335267331,29.81153442
-19.36869704,-0.562463252,26.75900387
-10.0145962,0.998850847,-10.16160894
1.459356835,26.72481162,2.143679326
-5.668545289,6.894293204,-23.99919401
-12.28526416,-6.39630265,-21.61090974
-7.309167522,9.353227429,-10.00346422
-12.83381888,9.283633061,6.016952894
-10.28358562,18.72957756,22.62129574
-19.62537665,-3.480594155,7.398128761
-20.35811912,1.141692368,21.29008987
-20.38634826,2.377068424,23.0513762
-21.74991413,2.081139138,19.64228823
-19.2233207,4.193976669,24.77514699
-15.27217431,13.10815262,30.13001959
-16.94701717,8.588597205,27.84517152
-13.59859295,19.62417735,28.27425935
-13.47925047,10.35741416,13.15397971
-14.14580115,14.89665337,26.53277663
-16.95512357,10.43743267,22.33140217
