charcoal age,MACROcharcoal (log(char)*rate),,,,
82.01366683,3.008182513,,,,
82.11416007,4.272439115,,,,
82.21696024,3.511004623,,,,
82.31465713,2.99014207,,,,
82.41101269,2.960156339,,,,
82.50604741,2.102122786,,,,
82.59978179,3.734256178,,,,
82.68649501,2.528207055,,,,
82.78343146,3.069428615,,,,
82.87338774,3.164816464,,,,
82.96212563,3.743871728,,,,
83.10916515,2.588096072,,,,
83.18888438,3.463459806,,,,
83.27338447,3.048027398,,,,
83.35676082,3.881817047,,,,
83.4288094,2.63051985,,,,
83.60035226,3.63165014,,,,
83.67943851,3.859334679,,,,
83.75556412,4.026052655,,,,
83.83265304,4.163689805,,,,
83.90876112,4.049792259,,,,
84.05811676,2.979235838,,,,
84.12912874,4.238082107,,,,
84.19254249,3.286890181,,,,
84.53344946,2.90097919,,,,
84.60109717,3.834209315,,,,
84.66798355,4.492860184,,,,
84.73412909,0.498740676,,,,
84.79955427,2.931266193,,,,
84.85542061,3.14415349,,,,
84.91955876,3.639448231,,,,
84.98303522,3.907512667,,,,
85.10769803,4.609762231,,,,
85.16931601,3.487433053,,,,
85.23187283,3.691756439,,,,
85.29271404,3.629512421,,,,
85.35226449,5.064088513,,,,
85.41463046,4.080580925,,,,
85.47974592,4.50158792,,,,
85.70095432,5.328910657,,,,
85.75769088,6.258408818,,,,
85.81405272,4.763424646,,,,
85.83544629,6.253401119,,,,
85.87006034,5.429324912,,,,
85.92573422,5.041034396,,,,
85.9762628,8.995263445,,,,
85.98109487,4.481271857,,,,
86.03616277,5.052853453,,,,
86.09095841,6.674894757,,,,
86.11348709,8.761851006,,,,
86.20455688,5.952321151,,,,
86.25931603,4.276607313,,,,
86.31253702,5.098368914,,,,
86.36626482,4.74967515,,,,
86.4225206,4.543763566,,,,
86.47596802,6.452912076,,,,
86.52930991,5.089922772,,,,
86.58256678,5.334906825,,,,
86.63409761,5.476584743,,,,
86.6603444,3.714285029,,,,
86.75929593,2.840208897,,,,
86.80577945,3.046504634,,,,
86.81242097,3.837116361,,,,
86.86557009,4.030142704,,,,
86.89548474,1.79473274,,,,
86.91876377,5.677486791,,,,
87.02202988,3.267411339,,,,
87.07547297,4.857409905,,,,
87.18275538,3.746695089,,,,
87.23731032,4.008704256,,,,
87.2913798,3.360842619,,,,
87.34565674,2.819693202,,,,
87.40016162,3.061665789,,,,
87.45491495,3.371729257,,,,
87.50993721,4.231262017,,,,
87.5652489,5.821632306,,,,
87.62087049,4.0001095,,,,
87.67682248,3.586929931,,,,
87.74124896,3.957077372,,,,
87.79797829,4.224218005,,,,
87.85510245,4.601023186,,,,
87.91264191,2.663827442,,,,
87.97061716,3.385762323,,,,
88.02904871,3.294565899,,,,
88.08795703,1.587405161,,,,
88.14736261,3.451251029,,,,
88.20728596,3.405692856,,,,
88.26964587,3.507030708,,,,
88.33068399,3.803696742,,,,
88.39230197,5.124358417,,,,
88.45452031,1.297913412,,,,
88.5173595,4.467090025,,,,
88.58084002,-0.06607576,,,,
88.64498237,0.626743593,,,,
88.70980704,-2.441723859,,,,
88.77533452,2.373918429,,,,
88.89932324,2.815160579,,,,
88.96697577,2.461819514,,,,
89.03541025,-2.310905737,,,,
89.10464718,3.21003337,,,,
89.13563345,6.570340603,,,,
89.17735055,2.099519146,,,,
89.24828585,3.305185285,,,,
89.29081149,7.749732898,,,,
89.32008583,6.501421039,,,,
89.46636177,4.242614833,,,,
89.47330807,3.390654161,,,,
89.54087872,3.166877093,,,,
89.61634231,-0.360625202,,,,
89.84861779,2.662576116,,,,
89.92807283,1.695695575,,,,
89.93857875,2.331602952,,,,
90.00857696,-1.962637343,,,,
90.08245714,0.961334359,,,,
92.23302158,0.842343532,,,,
92.345356,2.105161771,,,,
92.45925842,0.487436536,,,,
92.57474933,0.268071789,,,,
92.69184921,1.638474276,,,,
92.81057855,0.24563577,,,,
92.93095786,0.240913892,,,,
93.05223957,-1.293137691,,,,
93.17596963,-1.275496419,,,,
93.30141098,1.261999201,,,,
93.42858413,-0.154955179,,,,
93.55750955,0.665566641,,,,
93.69149809,0.558779677,,,,
93.82403463,-0.146484987,,,,
93.95838544,0.39612836,,,,
94.094571,0.788825607,,,,
94.2326118,0.79826604,,,,
94.33737222,-1.132286311,,,,
94.4742634,0.213182366,,,,
94.60574585,0.207078473,,,,
94.73885722,-1.090858968,,,,
94.87361342,-1.076995518,,,,
95.02217485,0.339637348,,,,
95.14906899,-1.051520595,,,,
95.28886654,-1.038824974,,,,
95.43037257,-0.107059846,,,,
95.58831591,0.353686824,,,,
95.73346505,0.393089809,,,,
95.89344888,0.384968746,,,,
96.03007011,0.384898409,,,,
96.17952271,0.921145363,,,,
96.33284042,0.827556299,,,,
96.5080587,1.010341681,,,,
96.66425662,0.941756555,,,,
96.82230993,0.533196988,,,,
96.99646811,0.117153703,,,,
97.14515354,0.449815585,,,,
97.30888137,1.260235044,,,,
97.49721442,-0.087700686,,,,
97.67999806,0.358543286,,,,
97.8371838,-0.856039471,,,,
97.99605498,-0.049017575,,,,
98.18513713,0.199643109,,,,
98.31770447,-0.051482263,,,,
98.48048262,-0.820695291,,,,
98.64619577,-0.811345294,,,,
98.84463163,-0.055530138,,,,
99.01417874,-0.793853708,,,,
99.18423526,-0.785742982,,,,
99.35477448,-0.777682349,,,,
99.53093895,-0.769672853,,,,
99.7076374,-0.761168511,,,,
99.91521299,-0.742225613,,,,
100.1065295,0.001006653,,,,
100.2908712,0.365091331,,,,
100.5047415,0.508261123,,,,
100.7174003,0.151061006,,,,
100.9848892,0.65591607,,,,
101.2485364,0.612955484,,,,
101.5250582,0.691390367,,,,
101.8378816,0.00868593,,,,
102.0971988,0.10575223,,,,
103.9882667,0.551301992,,,,
104.3761823,0.77490677,,,,
104.7770834,0.827800511,,,,
105.1876052,0.773446015,,,,
106.0320369,0.78048997,,,,
106.4678166,0.628674518,,,,
106.9108545,0.700671332,,,,
107.3605588,0.670449879,,,,
107.8130386,0.557084223,,,,
108.2742634,0.613724528,,,,
108.6562144,0.578007352,,,,
112.4945068,0.552250324,,,,
113.3984707,0.526293206,,,,
113.8902956,0.547282976,,,,
114.0699004,0.643923118,,,,
114.8737521,0.652379417,,,,
115.3606254,0.731540684,,,,
115.9004935,0.64904419,,,,
116.3147904,0.67736919,,,,
116.7875234,0.669428729,,,,
117.195843,0.799812039,,,,
124.0976679,1.099379969,,,,
124.328262,1.445892866,,,,
124.5410846,1.224432552,,,,
124.7283424,1.205615495,,,,
125.0194414,0.598658132,,,,
125.2769862,1.214218586,,,,
125.5386689,1.349349864,,,,
125.7068786,0.893446233,,,,
126.0460841,0.894900254,,,,
126.2862105,1.107738761,,,,
126.5097992,0.824623542,,,,
126.7388665,1.30558653,,,,
126.8621446,2.097410724,,,,
126.9537888,0.987300425,,,,
127.0887687,1.548256163,,,,
127.1859781,1.140026457,,,,
127.3784588,0.881805503,,,,
127.4942285,-0.785879528,,,,
127.5680312,0.736041083,,,,
127.768487,0.69685093,,,,
127.9645731,0.701922694,,,,
128.1554011,1.192451198,,,,
128.3074733,0.903953145,,,,
128.5261767,1.446849152,,,,
128.7067126,0.811872809,,,,
128.8733088,1.663682748,,,,
129.0486061,1.688776824,,,,
129.1772157,2.382439733,,,,
129.2313631,0.931435471,,,,
129.3969583,1.112850456,,,,
129.4908609,3.22691229,,,,
129.5620414,1.477904966,,,,
129.735278,1.418096644,,,,
129.9021267,1.204641418,,,,
129.9073592,2.027563005,,,,
130.0681837,1.273021451,,,,
130.233743,1.288045563,,,,
130.3990991,1.458282632,,,,
130.5499672,0.941555363,,,,
130.7178425,0.914379149,,,,
130.9105429,1.05737555,,,,
131.2277989,1.204905451,,,,
131.4002132,0.973773896,,,,
131.5658143,1.438367465,,,,
131.7378012,1.150540837,,,,
131.7510404,0.935721514,,,,
131.912152,1.402340265,,,,
132.1073478,1.355278049,,,,
132.3131002,1.638297761,,,,
132.4911506,1.50243791,,,,
132.6845908,0.961828624,,,,
132.8599681,1.097021988,,,,
133.0585753,1.238756506,,,,
133.2573414,1.377471351,,,,
133.4616796,0.938001324,,,,
133.6629397,1.395178531,,,,
133.8576655,1.654768158,,,,
134.0898692,1.074925343,,,,
134.2283543,1.652025961,,,,
134.4136946,1.324647907,,,,
134.5886262,1.774296731,,,,
134.7971277,1.519206158,,,,
134.9173462,1.677465739,,,,
135.0715909,1.736920665,,,,
135.2491407,1.48151217,,,,
135.4169159,2.030601712,,,,
135.5864996,2.115338787,,,,
135.745693,2.069909458,,,,
135.9127592,2.470468095,,,,
136.0608724,2.681630032,,,,
136.5719549,2.088028387,,,,
136.6787042,2.51797323,,,,
136.80483,1.993344607,,,,
136.9314792,1.977780745,,,,
137.0414481,1.686149136,,,,
137.1638747,1.836737832,,,,
137.2850875,1.864855356,,,,
137.4059954,1.668312797,,,,
137.5187735,2.674486463,,,,
137.6236386,1.78848704,,,,
137.7524348,2.196215309,,,,
137.8689385,1.641658037,,,,
137.9894289,0.541147274,,,,
138.1038272,2.620740811,,,,
138.2106467,2.907314924,,,,
138.3280726,0.676566806,,,,
138.4055263,2.555119312,,,,
138.5027463,2.578167963,,,,
138.5325867,2.357471899,,,,
138.6289365,2.746800024,,,,
138.7254405,2.426334659,,,,
138.8205247,3.154279579,,,,
138.9150104,3.143236766,,,,
139.0096989,3.138800362,,,,
139.0494382,2.566116706,,,,
139.128622,2.684092368,,,,
139.1371383,1.300840085,,,,
139.2289898,1.904727558,,,,
139.320343,2.0378879,,,,
139.4028379,2.275734959,,,,
139.4766078,2.794976304,,,,
139.5667088,2.363192002,,,,
139.6571399,2.787300326,,,,
139.7359319,2.462630776,,,,
139.8248699,2.062504637,,,,
139.9134455,2.469395752,,,,
140.0016792,3.110270327,,,,
140.0895917,2.724010121,,,,
140.1772033,2.003732254,,,,
140.2652674,3.145158092,,,,
140.3435681,1.485723495,,,,
140.4304218,2.145623252,,,,
140.517055,2.801044163,,,,
140.6034882,2.095909213,,,,
140.6897418,2.504324301,,,,
140.7765594,2.415333908,,,,
140.8625146,2.641096349,,,,
140.9483521,2.453486378,,,,
140.9815059,3.036583446,,,,
140.9865498,2.393039072,,,,
141.0664942,2.069921085,,,,
141.1521342,2.451517302,,,,
141.2370068,2.234384445,,,,
141.3225707,2.611729483,,,,
141.4023754,2.395276035,,,,
141.4929777,2.167406842,,,,
141.5728242,2.530212851,,,,
141.6577567,2.495931329,,,,
141.7434816,2.78379766,,,,
141.8285783,3.162998595,,,,
141.9174003,2.326374206,,,,
142.002747,2.251074891,,,,
142.0889718,1.944332691,,,,
142.1681046,2.113950545,,,,
142.2546845,1.409538754,,,,
142.3407493,2.269718257,,,,
142.4277782,2.132259145,,,,
142.5143287,3.060431909,,,,
142.6040992,2.364321811,,,,
142.6919633,2.83713941,,,,
142.7949989,2.996401461,,,,
142.801686,2.263581492,,,,
142.9052196,1.791660345,,,,
143.0092548,2.391227132,,,,
143.1138243,2.285600018,,,,
143.2189609,2.394003173,,,,
143.3254602,2.258387883,,,,
143.4318336,2.648509658,,,,
143.5388725,2.247460071,,,,
143.6466096,2.675537322,,,,
143.7550775,1.832778091,,,,
143.8139185,2.142851437,,,,
143.9101213,1.724335485,,,,
144.0204911,2.319298283,,,,
144.1317036,1.94662209,,,,
144.2437915,2.518072675,,,,
144.3576039,2.4153678,,,,
144.4715477,1.990956534,,,,
144.5864654,2.255380733,,,,
144.7023896,1.618902501,,,,
144.7594772,2.597963773,,,,
144.7763156,1.833546958,,,,
144.9007574,2.114462439,,,,
145.0358773,2.009245952,,,,
145.1724595,2.252072119,,,,
145.3096733,2.122006781,,,,
145.4493144,1.440972797,,,,
145.5896625,1.714026205,,,,
145.7325534,1.963308043,,,,
145.763523,2.066480785,,,,
145.9075654,1.7820043,,,,
146.05428,2.243641604,,,,
146.2018569,2.164259147,,,,
146.352224,1.579590315,,,,
146.5044951,2.334224617,,,,
146.6577358,1.971664442,,,,
146.8139462,2.065125071,,,,
146.9711962,1.574076352,,,,
147.0653172,2.570051971,,,,
147.0805666,1.964263489,,,,
147.2392751,2.101264279,,,,
147.4052999,2.154210606,,,,
147.5736057,2.055738258,,,,
147.7442423,1.848595729,,,,
147.9172596,1.745393914,,,,
