"","hunting","gathering","fishing","MAT","MATseas","TAP","TAPseas","lon","lat"
"North_Pomo_(Kalekau)",0.20004514985131,0.50004514985131,0.30004514985131,-0.0524651750213168,-0.398353371689485,0.516383528396973,1.01959673699675,-123.29,39.34
"Yana_(Northern)",0.250228448223374,0.450228448223374,0.300228448223374,0.101171412198119,0.0140021395563383,0.0546264634752567,0.834378712278509,-122.89,40.38
"Miwok_(Sierra)",0.350086605073436,0.550086605073436,0.100086605073436,0.092133965891093,-0.809963662131852,0.276119689738519,1.16777115677134,-122.77,38
"Tekelma",0.200080963473138,0.350080963473138,0.450080963473138,0.0288718417419137,-0.227449400763505,0.122200668097947,0.723247897447563,-123.48,42.44
"Coast_Yuki",0.150121344110859,0.250121344110859,0.600121344110859,-0.00727794348618876,-0.671352592688979,0.699084155710173,0.945509527109454,-123.74,39.64
"Tolowa",0.100022511079582,0.250022511079582,0.650022511079582,-0.124764745477522,-0.495977296942261,1.08325602273176,0.723247897447563,-123.92,41.87
"Shasta-(Eastern)",0.250024790409113,0.450024790409113,0.300024790409113,-0.278401332696957,-0.0235073075509625,-0.432158084640049,0.167593823292836,-122.7,41.62
"Hupa",0.100224574273235,0.350224574273235,0.550224574273235,0.0469467343559649,-0.28706706504001,0.481345051925949,0.760291502391212,-123.61,40.93
"Tututni-Coastal",0.300125546662328,0.100125546662328,0.600125546662328,-0.206101762240752,-0.574722295174144,0.915571885334718,0.575073477672969,-124.04,42.61
"Karok",0.100037629225461,0.350037629225461,0.550037629225461,-0.25128899377588,-0.232665946387699,0.248589458225571,0.575073477672969,-123.47,41.58
"Atsugewi",0.400042964842899,0.350042964842899,0.250042964842899,-0.585674507135828,-0.0394053513580303,-0.213167606696145,-0.202842226143649,-121.12,40.75
"Wiyot",0.0501053002261847,0.300105300226185,0.650105300226185,0.0107969491278625,-0.991052317371735,0.358710384277363,0.686204292503915,-124.14,40.75
"Maidu_(Mt.)",0.300120526286228,0.500120526286228,0.200120526286228,-0.45915025883747,0.0780911286535808,-0.459688316152997,0.0194194035182417,-120.56,40.28
"Yurok",0.100155729781954,0.200155729781954,0.700155729781954,-0.0163153897932144,-0.802759861031774,1.20964481285939,0.649160687560266,-123.89,41.4
"Achomawi_(Western)",0.400022115350846,0.300022115350846,0.300022115350846,-0.269363886389932,0.057721760025775,-0.577317487162865,-0.42510385580554,-121.19,41.32
"Modoc",0.300161800448037,0.450161800448037,0.250161800448037,-0.39588813468829,0.0530020282705518,-0.693695284013054,-0.721452695354728,-121.31,42
"Klamath",0.200022995925806,0.300022995925806,0.500022995925806,-0.39588813468829,0.0629383056499692,-0.572311990524147,-0.0176242014254068,-121.5,42.62
"Guaicura",0.150114119924981,0.700114119924981,0.150114119924981,0.92357902613745,-0.719791944913639,-0.968997599142533,1.16777115677134,-111.54,25
"Chichimec",0.200110258505881,0.650110258505881,0.150110258505881,0.941653918751501,-0.775186691303891,-0.529765269095046,0.723247897447563,-100,22
"Shoshoni-Death_Valley",0.250008100578994,0.750008100578994,0.00000810057899391876,0.833204563067194,0.62508319839051,-1.05534241616041,-0.536234670636486,-116.81,36.52
"Karankawa",0.150038138140937,0.300038138140936,0.550038138140937,0.905504133523399,-0.162366783928321,0.0496209668365389,-0.758496300298377,-96.91,28.44
"Coahuilenos",0.300020611484174,0.650020611484174,0.0500206114841743,0.679567975847758,-0.425678134482883,-0.746252998719591,0.463942662842024,-102.07,26
"Panamint",0.350059118965938,0.650059118965938,0.0000591189659375594,0.498819049707246,0.483988059602783,-1.00904157225227,-0.276929436030946,-117.33,36.37
"Yavapai_(Northeastern)",0.35005087750129,0.60005087750129,0.0500508775012903,0.616305851698579,0.332956643435638,-0.671170549138824,-0.313973040974595,-110.5,33.37
"Koso_Mt.-Little_Lake",0.400079517608352,0.600079517608352,0.0000795176083515255,-0.0615026213283425,0.145657814833619,-0.790051094308371,0.167593823292836,-117.7,36.12
"Walapai",0.350058152146953,0.650058152146953,0.0000581521469533763,0.815129670453142,0.526217238465307,-0.999030578974839,-0.758496300298377,-114.5,35.95
"Kawaiisu",0.400077699555009,0.600077699555009,0.000077699555009058,0.516893942321297,0.248249878776104,-0.981511340739327,0.538029872729321,-118,35.37
"Saline_Valley",0.40006706299561,0.60006706299561,0.0000670629956102539,0.525931388628323,0.463618690974977,-0.986516837378045,0.167593823292836,-117.79,36.65
"Antarianunts-So.Paiute",0.350109166620026,0.500109166620026,0.150109166620026,-0.242251547468855,0.515535740282433,-0.807570332543884,-0.980757929960268,-110.72,37.86
"East_Monoowens_Valley",0.300055331809913,0.650055331809913,0.0500553318099129,0.318070123566733,0.342396106946084,-0.942718741789264,0.352811848011078,-118.18,36.88
"Kawich_Mountains",0.450116241515386,0.550116241515386,0.000116241515386298,-0.413963027302342,0.198568491879017,-0.811324455022922,-1.49936839917135,-116.45,37.92
"Kaibab",0.400102448038654,0.600102448038654,0.000102448038654255,0.164433536347298,0.403752619763987,-0.79380521678741,-1.05484513984756,-112.55,36.9
"Mono_Lake-(Kuzedika)",0.45013422902144,0.48013422902144,0.0701342290214399,-0.432037919916393,0.0818172326708623,-0.821335448300358,-0.573278275580134,-118.85,38.11
"Deep_Springs",0.450003674650446,0.550003674650447,0.00000367465044644697,-0.341663456846137,0.139944455340454,-0.862630795569779,-0.832583510185674,-118,37.28
"Salmon_Eater_Shoshoni",0.500124612667921,0.300124612667921,0.200124612667921,-0.0524651750213168,0.491688674571831,-0.843860183174588,-0.462147460749189,-115.3,42.94
"Kuyuidokado-Pyramid_Lk",0.200140989011244,0.500140989011244,0.300140989011244,0.0379092880489393,0.270606502879793,-0.870139040527856,-0.499191065692837,-119.6,40
"Ute-Timpanogas",0.300025424474038,0.400025424474038,0.300025424474038,-0.124764745477522,0.604465422828219,-0.671170549138824,-1.42528118928405,-111.81,40.22
"Cattail_Eater_Paiute",0.300005283084046,0.500005283084046,0.200005283084046,-0.197064315933727,0.365746358787715,-0.936461870990867,-1.35119397939675,-118.7,40.12
